Sparkasse Aachen - Filiale Burtscheider Markt,Sparkasse Filiale Burtscheider Markt,52066,6.092,50.76312,39050000
Sparkasse Aachen - Filiale Laurensberg,Sparkasse Filiale Laurensberg,52072,6.06356422,50.7978348,39050000
Sparkasse Aachen - Filiale Brand - Trierer Straße,Sparkasse Filiale Brand - Trierer Straße,52078,6.16641,50.74874,39050000
,,0,0,0,0
,,0,0,0,0
Sparkasse Aachen - Filiale Adalbertsteinweg,Sparkasse Filiale Adalbertsteinweg,52066,6.1125193,50.7721827,39050000
,,0,0,0,0
Sparkasse Aachen - Kundencenter Elisenbrunnen,Sparkasse Filiale Elisenbrunnen,52062,6.0879316,50.7741464,39050000
Sparkasse Engen-Gottmadingen - Filiale Aach,Sparkasse Filiale Aach,78267,8.85334,47.84334,69251445
,,0,0,0,0
Sparkasse Aachen - SB Center Eilendorf - Karlstraße,Sparkasse SB-Center Eilendorf - Karlstraße,52080,6.1519509,50.781778,39050000
,,0,0,0,0
Sparkasse Aachen - Private Banking Aachen,Sparkasse Private Banking Aachen,52062,6.0843438,50.7741867,39050000
Sparkasse Aachen - SB-Center Hirsch-Center,Sparkasse Aachen - SB-Center Hirsch-Center,52068,6.1235159,50.7792321,39050000
Sparkasse Aachen - Filiale Jülicher Straße,Sparkasse Filiale Jülicher Straße,52070,6.09940767,50.7796002,39050000
Sparkasse Aachen - Filiale Merowingerstraße,Sparkasse Filiale Merowingerstraße,52070,6.0930087,50.7888332,39050000
Sparkasse Aachen - Filiale Königsberger Straße,Sparkasse Filiale Königsberger Straße,52078,6.14289,50.75407,39050000
Sparkasse Aachen - Finanz-Center Münsterplatz,Sparkasse Beratungscenter Münsterplatz,52062,6.0843438,50.7741867,39050000
Sparkasse Aachen - SB-Center Erzbergerallee,Sparkasse SB-Center Erzbergerallee,52066,6.1110334,50.7621364,39050000
Sparkasse Aachen - Filiale Pontstraße,Sparkasse Filiale Pontstraße,52062,6.0804606,50.7793139,39050000
Kreissparkasse Ostalb - Hauptstelle Aalen,Sparkasse Filiale Aalen,73430,10.0955241,48.8386475,61450050
Sparkasse Aachen - Filiale Walheim,Sparkasse Filiale Walheim,52076,6.17880106,50.7053255,39050000
,,0,0,0,0
Kreissparkasse Heilbronn - SB Center Abstatt,Kreissparkasse Heilbronn - SB Center Abstatt,74232,9.28975,49.06762,62050000
,,0,0,0,0
Kreissparkasse Ostalb - Filiale Abtsgmünd,Sparkasse Filiale Abtsgmünd,73453,10.0032168,48.8927969,61450050
Sparkasse Aachen - Filiale Richterich,Sparkasse Filiale Richterich,52072,6.06079,50.81147,39050000
,,0,0,0,0
Kreissparkasse Ostalb - Filiale Ebnat,Sparkasse Filiale Ebnat,73432,10.1834331,48.8011765,61450050
Sparkasse Aachen - Filiale Zollernstraße,Sparkasse Filiale Zollernstraße,52066,6.0995058,50.7692781,39050000
,,0,0,0,0
,,0,0,0,0
Sparkasse Mittelfranken-Süd  - Geschäftsstelle Abenberg,Sparkasse Filiale Abenberg,91183,10.9617883,49.2421713,76450000
Sparkasse Aachen - SB-Center Theaterstraße,Sparkasse SB-Center Theaterstraße,52062,6.08983,50.77129,39050000
Kreissparkasse Ostalb - S-Immobilien Ostalb GmbH Aalen,Sparkasse Immobiliencenter Ostalb GmbH Aalen,73430,10.0958471,48.8383417,61450050
Sparkasse Aachen - Filiale Schönforst,Sparkasse Filiale Schönforst,52078,6.1343,50.76255,39050000
Sparkasse Aachen - SB Center Reimser Straße,Sparkasse SB-Center Reimser Straße,52074,6.04669,50.74024,39050000
Sparkasse Aachen - SB Center Valkenburger Straße,Sparkasse SB-Center Valkenburger Straße,52074,6.05673,50.77414,39050000
Kreissparkasse Ostalb - Filiale Wasseralfingen,Sparkasse Filiale Wasseralfingen,73433,10.1041993,48.8654744,61450050
Sparkasse Starkenburg - Filiale Abtsteinach,Sparkasse Filiale Abtsteinach,69518,8.78622289,49.543906,50951469
Kreissparkasse Kelheim - Geschäftsstelle Abensberg,Sparkasse Filiale Abensberg,93326,11.84657,48.81596,75051565
Sparkasse Offenburg/Ortenau - FirmenKundenZentrum Achern,Sparkasse Firmenkundencenter Achern,77855,8.07105999,48.62795,66450050
Kreissparkasse Verden - Geldautomat SB-Filiale Bierden,Sparkasse Geldautomat Bierden,28832,9.01547725,53.0163098,29152670
Sparkasse Neckartal-Odenwald - Geschäftsstelle Adelsheim,Sparkasse Filiale Adelsheim,74740,9.3901849,49.4040768,67450048
,,0,0,0,0
Sparkasse Vogtland - Filiale Adorf,Sparkasse Filiale Adorf,08626,12.2567378,50.3188425,87058000
Kreissparkasse Biberach - Geschäftsstelle Achstetten,Sparkasse Filiale Achstetten,88480,9.89721,48.25832,65450070
Sparkasse Lüneburg - Filiale Adendorf,Sparkasse Filiale Adendorf,21365,10.43858,53.2821499,24050110
Sparkasse Göttingen - Filiale Adelebsen,Sparkasse Filiale Adelebsen,37139,9.75682555,51.5804124,26050001
Sparkasse Offenburg/Ortenau - SB-Center Achern - Sasbacher Straße,Sparkasse SB-Center Achern - Sasbacher Straße,77855,8.08099749,48.6317716,66450050
Kreissparkasse Verden - Geschäftsstelle Uphusen,Sparkasse Filiale Uphusen,28832,8.96918,53.0294199,29152670
Kreissparkasse Göppingen - SB-Filiale Adelberg,Sparkasse SB-Center Adelberg,73099,9.5985668,48.7623042,61050000
Stadt- und Kreissparkasse Erlangen Höchstadt Herzogenaurach - Geschäftsstelle Adelsdorf,Sparkasse Filiale Adelsdorf,91325,10.8956077,49.7144224,76350000
Sparkasse Hameln-Weserbergland - Beratungszentrum Aerzen,Sparkasse Hameln-Weserbergland - Beratungszentrum Aerzen,31855,9.2634643,52.0475193,25450110
Kreissparkasse Verden - Geschäftsstelle Achim,Sparkasse Filiale Achim,28832,9.03655614,53.0114437,29152670
Sparkasse Neckartal-Odenwald - Geschäftsstelle Aglasterhausen,Sparkasse Filiale Aglasterhausen,74858,8.9917073,49.3539131,67450048
Sparkasse Landshut - Geschäftsstelle Adlkofen,Sparkasse Filiale Adlkofen,84166,12.2623572,48.5464823,74350000
Kreissparkasse Ludwigsburg - Filiale Affalterbach (Marbacher Straße),Sparkasse Filiale Affalterbach (Marbacher Straße),71563,9.32308,48.92283,60450050
Kreissparkasse Ahrweiler - Beratungs-Center Adenau,Sparkasse Filiale Adenau,53518,6.92946,50.38236,57751310
Sparkasse Offenburg/Ortenau - Geschäftsstelle Oberachern,Sparkasse Filiale Oberachern,77855,8.08346449,48.6171602,66450050
"Sparkasse Westmünsterland  - Beratungs-Center Ahaus, Am Stadtpark","Sparkasse Filiale Ahaus, Am Stadtpark",48683,7.0017931,52.0851373,40154530
